date,score,classification
2023-01-01,48.1,Fear
2023-01-02,47.6,Fear
2023-01-03,49.8,Fear
2023-01-04,55.1,Fear
2023-01-05,54.3,Fear
2023-01-06,53.5,Fear
2023-01-07,58.9,Fear
2023-01-08,61.5,Greed
2023-01-09,59.9,Fear
2023-01-10,61.7,Greed
2023-01-11,60.2,Greed
2023-01-12,58.6,Fear
2023-01-13,59.4,Fear
2023-01-14,52.8,Fear
2023-01-15,46.9,Fear
2023-01-16,45.0,Fear
2023-01-17,41.5,Fear
2023-01-18,42.6,Fear
2023-01-19,39.5,Fear
2023-01-20,34.6,Fear
2023-01-21,39.7,Fear
2023-01-22,38.9,Fear
2023-01-23,39.1,Fear
2023-01-24,34.2,Fear
2023-01-25,32.4,Fear
2023-01-26,32.7,Fear
2023-01-27,28.8,Fear
2023-01-28,30.1,Fear
2023-01-29,28.0,Fear
2023-01-30,27.0,Fear
2023-01-31,25.0,Fear
2023-02-01,31.3,Fear
2023-02-02,31.3,Fear
2023-02-03,27.6,Fear
2023-02-04,30.5,Fear
2023-02-05,26.3,Fear
2023-02-06,27.0,Fear
2023-02-07,20.3,Fear
2023-02-08,15.7,Fear
2023-02-09,16.4,Fear
2023-02-10,18.9,Fear
2023-02-11,19.5,Fear
2023-02-12,19.1,Fear
2023-02-13,18.1,Fear
2023-02-14,13.0,Fear
2023-02-15,10.5,Fear
2023-02-16,9.0,Fear
2023-02-17,12.6,Fear
2023-02-18,13.8,Fear
2023-02-19,7.7,Fear
2023-02-20,8.8,Fear
2023-02-21,7.5,Fear
2023-02-22,5.2,Fear
2023-02-23,7.3,Fear
2023-02-24,10.8,Fear
2023-02-25,14.0,Fear
2023-02-26,11.1,Fear
2023-02-27,10.1,Fear
2023-02-28,11.2,Fear
2023-03-01,14.6,Fear
2023-03-02,12.9,Fear
2023-03-03,12.3,Fear
2023-03-04,8.5,Fear
2023-03-05,4.4,Fear
2023-03-06,7.2,Fear
2023-03-07,11.8,Fear
2023-03-08,11.6,Fear
2023-03-09,15.0,Fear
2023-03-10,16.3,Fear
2023-03-11,14.0,Fear
2023-03-12,15.3,Fear
2023-03-13,20.6,Fear
2023-03-14,20.4,Fear
2023-03-15,25.8,Fear
2023-03-16,16.8,Fear
2023-03-17,19.6,Fear
2023-03-18,19.9,Fear
2023-03-19,18.9,Fear
2023-03-20,19.2,Fear
2023-03-21,12.4,Fear
2023-03-22,11.7,Fear
2023-03-23,12.9,Fear
2023-03-24,18.0,Fear
2023-03-25,16.2,Fear
2023-03-26,13.4,Fear
2023-03-27,11.7,Fear
2023-03-28,14.8,Fear
2023-03-29,15.9,Fear
2023-03-30,14.1,Fear
2023-03-31,15.9,Fear
2023-04-01,16.2,Fear
2023-04-02,19.5,Fear
2023-04-03,17.1,Fear
2023-04-04,16.0,Fear
2023-04-05,14.7,Fear
2023-04-06,9.7,Fear
2023-04-07,10.7,Fear
2023-04-08,11.6,Fear
2023-04-09,11.6,Fear
2023-04-10,10.8,Fear
2023-04-11,5.9,Fear
2023-04-12,4.5,Fear
2023-04-13,3.3,Fear
2023-04-14,0.6,Fear
2023-04-15,0.0,
2023-04-16,1.4,Fear
2023-04-17,7.9,Fear
2023-04-18,8.5,Fear
2023-04-19,9.3,Fear
2023-04-20,9.1,Fear
2023-04-21,2.5,Fear
2023-04-22,2.4,Fear
2023-04-23,2.6,Fear
2023-04-24,11.1,Fear
2023-04-25,10.4,Fear
2023-04-26,11.4,Fear
2023-04-27,11.3,Fear
2023-04-28,7.3,Fear
2023-04-29,11.2,Fear
2023-04-30,13.8,Fear
2023-05-01,16.5,Fear
2023-05-02,13.4,Fear
2023-05-03,18.2,Fear
2023-05-04,13.4,Fear
2023-05-05,15.4,Fear
2023-05-06,22.9,Fear
2023-05-07,19.5,Fear
2023-05-08,17.6,Fear
2023-05-09,17.9,Fear
2023-05-10,16.2,Fear
2023-05-11,10.9,Fear
2023-05-12,11.1,Fear
2023-05-13,7.5,Fear
2023-05-14,9.1,Fear
2023-05-15,6.0,Fear
2023-05-16,11.3,Fear
2023-05-17,8.6,Fear
2023-05-18,7.5,Fear
2023-05-19,10.3,Fear
2023-05-20,6.0,Fear
2023-05-21,6.8,Fear
2023-05-22,11.3,Fear
2023-05-23,5.8,Fear
2023-05-24,6.4,Fear
2023-05-25,7.3,Fear
